id,topic,hotpot_type,original_question,expected_answer,parsed_answer,parsed_confidence,parsed_abstained,eval_answer_correct,eval_token_f1,eval_error_type,retrieved_titles
hotpotqa_mini_0010,entertainment,comparison,Were Scott Derrickson and Ed Wood of the same nationality?,yes,No hay información suficiente en el contexto para determinar la nacionalidad de Scott Derrickson.,0.0,True,False,0.0,wrong_abstention_with_partial_retrieval,Ed Wood|Ed Wood (film)|Adam Collis|Robert Barton|Robert Caesar Childers
hotpotqa_mini_0011,entertainment,bridge,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,No hay información suficiente en el contexto recuperado para responder qué cargo gubernamental ocupó Shirley Temple.,0.0,True,False,0.0,wrong_abstention_with_partial_retrieval,Kiss and Tell (1945 film)|A Kiss for Corliss|Meet Corliss Archer (TV series)|Janet Waldo|Meet Corliss Archer
hotpotqa_mini_0012,entertainment,bridge,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,0.93,False,True,1.0,correct,Animorphs|Victoria Hanley|The Hork-Bajir Chronicles|Andre Norton Award|The Divide trilogy
hotpotqa_mini_0013,entertainment,bridge,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,No hay información suficiente en el contexto recuperado para determinar quién formó al grupo.,0.2,True,False,0.0,wrong_abstention_with_partial_retrieval,2014 S/S|BTS discography|Seventeen discography|List of awards and nominations received by Shinee|History (band)
hotpotqa_mini_0014,entertainment,bridge,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,No hay información suficiente para determinar quién es mayor.,0.0,True,False,0.0,wrong_abstention_with_partial_retrieval,Kenton Richardson|Annie Morton|Lady Gaga x Terry Richardson|Gretchen Osgood Warren|Molly Childers
hotpotqa_mini_0015,entertainment,bridge,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,David Weissman,0.95,False,True,1.0,correct,David Weissman|The Family Man|Time to Kill (1989 film)|Drive Angry|Deadfall (1993 film)
hotpotqa_mini_0016,entertainment,bridge,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,0.8,False,True,1.0,correct,Guns N' Roses discography|Arnold Schwarzenegger filmography|Steven Adler|Oh My God (Guns N' Roses song)|Last Action Hero
hotpotqa_mini_0017,entertainment,comparison,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,"Yes. Giuseppe Verdi was an Italian opera composer, and Ambroise Thomas was a French composer best known for his operas.",0.95,False,True,0.1333,correct,Giuseppe Verdi|Ambroise Thomas|Giuseppe Verdi (film)|List of major opera composers|Ferdinando Provesi
hotpotqa_mini_0018,entertainment,bridge,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,"Dr. Robotnik from ""Sonic the Hedgehog"".",0.9,False,True,0.4,correct,Jim Cummings|Kate Higgins|A Rather Blustery Day|Winnie the Pooh and the Blustery Day|Heffalumps and Woozles
hotpotqa_mini_0019,entertainment,comparison,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice?",Badly Drawn Boy,Badly Drawn Boy.,0.75,False,True,1.0,correct,Wolf Alice|The Hour of Bewilderbeast|Badly Drawn Boy discography|Badly Drawn Boy|About a Boy (soundtrack)
